Type of Crisis,release_year,title
Asia ,1960,"['Psycho', 'Psycho', 'Psycho', 'Psycho', 'Psycho', 'Psycho', 'Psycho', 'Psycho', 'Psycho', 'Psycho', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', '13 Ghosts', '13 Ghosts', '13 Ghosts', '13 Ghosts', '13 Ghosts', '13 Ghosts', '13 Ghosts', '13 Ghosts', '13 Ghosts', '13 Ghosts', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face']"
Asia ,1962,"['What Ever Happened to Baby Jane?', 'What Ever Happened to Baby Jane?']"
Asia ,1963,"['The Birds', 'The Birds', 'The Birds', 'The Day of the Triffids', 'The Day of the Triffids', 'The Day of the Triffids']"
Asia ,1964,"['Onibaba', 'Onibaba', 'Onibaba', 'Onibaba', 'Onibaba']"
Asia ,1965,"['Planet of the Vampires', 'Planet of the Vampires', 'Planet of the Vampires', 'Planet of the Vampires', 'Planet of the Vampires', 'Repulsion', 'Repulsion', 'Repulsion', 'Repulsion', 'Repulsion']"
Asia ,1966,"['Munster, Go Home!', 'Munster, Go Home!']"
Asia ,1967,"['The Fearless Vampire Killers', 'Wait Until Dark', 'Viy']"
Asia ,1968,"[""Rosemary's Baby"", ""Rosemary's Baby"", ""Rosemary's Baby"", 'Night of the Living Dead', 'Night of the Living Dead', 'Night of the Living Dead', ""Shogun's Joy of Torture"", ""Shogun's Joy of Torture"", ""Shogun's Joy of Torture""]"
Asia ,1969,"['Marquis de Sade: Justine', 'Marquis de Sade: Justine', 'Marquis de Sade: Justine']"
Asia ,1972,"['The Case of the Bloody Iris', 'The Case of the Bloody Iris']"
Asia ,1973,['The Exorcist']
Asia ,1974,"['The Texas Chain Saw Massacre', 'Black Christmas']"
Asia ,1975,"['Jaws', 'Jaws', 'Jaws', 'Jaws', 'Jaws', 'Jaws', 'Jaws', 'Deep Throat in Tokyo', 'Deep Throat in Tokyo', 'Deep Throat in Tokyo', 'Deep Throat in Tokyo', 'Deep Throat in Tokyo', 'Deep Throat in Tokyo', 'Deep Throat in Tokyo', 'The Rocky Horror Picture Show', 'The Rocky Horror Picture Show', 'The Rocky Horror Picture Show', 'The Rocky Horror Picture Show', 'The Rocky Horror Picture Show', 'The Rocky Horror Picture Show', 'The Rocky Horror Picture Show']"
Asia ,1978,"['Halloween', 'Dawn of the Dead', 'Day of the Woman', 'Damien: Omen II']"
Asia ,1980,"['The Shining', 'The Shining', 'Friday the 13th', 'Friday the 13th', 'Cannibal Holocaust', 'Cannibal Holocaust']"
Asia ,1981,"['Porno', 'The Evil Dead', 'Possession', 'Sadomania', 'An American Werewolf in London']"
Asia ,1986,"['The Texas Chainsaw Massacre 2', 'The Texas Chainsaw Massacre 2', 'The Fly', 'The Fly']"
Asia ,1987,"[""Dragon Ball: Sleeping Princess in Devil's Castle""]"
Asia ,1988,"[""Child's Play""]"
Asia ,1990,"['Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story']"
Asia ,1991,"[""Child's Play 3""]"
Asia ,1992,"[""Bram Stoker's Dracula"", 'Alien³', 'Erotic Ghost Story III', 'Dr. Lamb']"
Asia ,1994,"['A Chinese Torture Chamber Story', 'A Chinese Torture Chamber Story', 'Interview with the Vampire', 'Interview with the Vampire']"
Asia ,1997,"['Alien Resurrection', ""The Devil's Advocate"", 'Scream 2', 'I Know What You Did Last Summer', 'Anaconda']"
Asia ,1998,"['Blade', 'Bride of Chucky', 'The Faculty']"
